DateTime,In_Flow,In_Angle,In_Temp,Out_Temp,In_Pressure,Viscosity,Humidity,Rot_Speed,Valve_Opening,Tank_%,Out_Speed,Thickness,Vibration,Col_density,Oxygen,Quality_type
2021-01-01 14:00,0.89,-0.47,1.27,-2,0.18,2.21,0.9,-1.18,-1.55,0.29,-1.81,-2.94,-0.24,-0.12,0.92,Premium
2021-01-01 15:00,2.72,-1.37,0.89,-0.53,1.15,0.43,3.53,-0.79,-0.22,1.86,2.19,-0.28,0.8,2.46,1.48,Approved
2021-01-01 16:00,2.25,0.26,1.35,-0.16,2.09,1.04,3.58,-0.88,1.48,2.55,0.61,-1.6,0.49,-0.13,0.38,Rejected
2021-01-01 17:00,-0.14,0.33,-0.16,-2.52,1.25,0.44,2.15,-4.37,-0.62,2.54,0.65,0.07,1.26,0.09,-0.65,Rejected
2021-01-01 18:00,-4.72,1.12,-0.59,0.83,-1.81,-0.03,-1.01,-4.95,-0.19,3.23,-0.84,0.62,-1.2,0.69,-0.95,Premium
2021-01-01 19:00,3.14,-1,0.44,-3.85,-1.16,-1.18,1.9,-0.89,-0.91,-0.39,-1.2,0.23,0.3,2.52,0.89,Premium
2021-01-01 20:00,-0.92,1.53,0.35,-0.26,1.7,0.02,-0.96,-0.09,1.46,-0.85,0.48,-0.01,0.22,-2.14,0.98,Premium
2021-01-01 21:00,-3.07,0.83,-0.22,0.13,-0.79,-0.55,-1.25,-2.81,-1.01,1.1,-1.76,0.22,2.3,0.12,-1.29,Premium
2021-01-01 22:00,0.38,2.13,-1.45,-2.89,-3.49,-0.63,0.53,-2.54,-0.55,0.96,0.62,-0.94,-1.25,2.45,0.83,Premium
2021-01-01 23:00,0.12,-0.59,-0.9,-1.45,-0.45,-0.05,0.05,-1,0.59,-0.07,-1,1.38,0.23,0.33,0.82,Premium
2021-01-02 00:00,-2.21,-1.44,-0.53,-0.22,-0.11,1.25,-0.52,-2.69,-1.07,1.1,1.57,-0.41,0.55,0.33,0.37,Premium
2021-01-02 01:00,-0.77,1.64,1.18,1.2,1.23,0.21,-0.83,0.96,0.36,-0.57,0.12,-0.88,1.61,-1.63,0.52,Premium
2021-01-02 02:00,-0.65,0.62,1.16,-1.77,-1.24,1.49,-0.87,-1.52,-0.05,-0.85,1.15,0.42,-0.99,2.08,-1.08,Rejected
2021-01-02 03:00,2.57,0.5,1.16,-2.7,0.14,-0.8,1.08,0.34,-2.3,-1.08,-1.67,-1.9,-0.16,0.57,0.34,Premium
2021-01-02 04:00,2.56,1.77,0.01,1.21,0.69,0.41,1.19,2.96,0.06,-0.87,-1.36,0.6,0.79,1.37,0.81,Approved
2021-01-02 05:00,1.71,-1.13,0.47,-1.18,0.3,-0.97,0.95,0.48,-0.01,-0.3,-0.16,-0.54,-0.47,-0.07,1.21,Rejected
2021-01-02 06:00,2.43,0.54,1.94,-1.1,-2.04,-0.39,0.36,1.85,-0.35,-1.34,0.67,-0.71,0.58,2.09,0.23,Rejected
2021-01-02 07:00,2.54,0.39,-1,0.24,1.56,-0.13,2.1,1.37,0.37,0.27,0.59,-0.28,0.51,0.32,0.28,Approved
2021-01-02 08:00,1.3,-1.01,-1.53,-1.08,2.06,-0.67,1.65,-0.46,-1.22,0.87,2.07,-0.01,-1.1,-2.25,0.25,Rejected
2021-01-02 09:00,0.05,1.17,0.41,0.37,-0.44,0.76,-0.22,0.58,-1.33,-0.17,-1.11,1.24,-0.31,-0.01,1.52,Rejected
2021-01-02 10:00,1.11,0.31,-1.25,-0.36,3.12,0.76,1.36,-0.47,0.26,-0.69,0.55,-0.65,-1.2,2.59,-1.81,Premium
2021-01-02 11:00,1.28,-0.92,2.2,1.83,0.12,-0.13,-1.69,4.98,1.14,-3.4,-1.06,-0.1,0.15,-0.2,-1.79,Premium
2021-01-02 12:00,0.77,-1.46,0.4,0.31,-0.51,0.48,0.92,0.33,0.1,1.03,0.81,0.63,-0.65,-0.58,-0.22,Rejected
2021-01-02 13:00,2.37,-2.07,0.27,0.26,-1.66,0.24,0.54,2.72,-0.23,-0.78,-0.81,-0.49,2.23,0.87,0.09,Premium
2021-01-02 14:00,-0.93,-0.24,-1.72,0.31,1.4,1.13,2.15,-3.6,-1.34,3.14,0.32,0.84,-1.74,1.65,0.04,Premium
2021-01-02 15:00,1.47,1,-0.5,1.19,0.59,-0.8,-1.33,4.42,-0.8,-3.23,-0.33,-0.37,0.88,-0.44,-1.07,Premium
2021-01-02 16:00,1.06,0.95,-0.64,-1.63,0.03,-1.5,0.19,-0.05,1.28,-1.04,-1.23,1.08,1.15,1.06,-0.3,Premium
2021-01-02 17:00,0.12,-0.13,-0.51,-3.26,-0.78,0.85,-0.83,-1.47,0.04,-1.64,-0.01,0.65,0.82,1.34,-0.93,Rejected
2021-01-02 18:00,2.01,1.2,0.21,-0.49,0.86,2.6,2.59,-0.33,1.39,1.79,-1.1,0.73,2.13,-0.48,-0.88,Rejected
2021-01-02 19:00,1.09,1.68,-0.79,-2.79,0.26,-1.66,1.47,-2.22,1.22,0.68,1.77,1.28,1.03,0.76,-0.44,Rejected
2021-01-02 20:00,-3.15,-1.13,0.77,0.11,-0.95,1.7,-0.48,-3.91,0.3,2.17,0.88,-0.49,-1.3,1.08,0.69,Premium
2021-01-02 21:00,1.69,-0.47,-0.06,1.31,0.58,0.47,0.77,2.35,-0.32,-0.59,-0.54,-0.59,-0.09,0.82,-0.42,Approved
2021-01-02 22:00,1.13,1.19,1.31,-0.85,-2.42,-0.31,-0.74,1.41,-0.19,-1.72,-1,0.64,-2.04,2.36,-0.99,Rejected
2021-01-02 23:00,-2.59,-2.29,1.44,-0.15,-1.22,0.26,0.63,-4.72,-1.95,3.1,0.17,0.46,0.58,2.51,0.07,Premium
2021-01-03 00:00,1.41,0.6,-0.19,1.7,0.63,0.32,1.32,2.11,0.61,1.23,0.6,-0.08,-1.4,-2.87,0.89,Approved
2021-01-03 01:00,3.85,0.6,-1.44,2.91,2.75,-0.01,2.13,5.19,-1.1,-0.88,1.36,-0.2,-0.4,-0.26,1.36,Approved
2021-01-03 02:00,0.73,0.3,0.62,-0.53,2.02,0.01,2.81,-2.55,0.08,2.47,-1.24,-0.25,1.92,1.07,1.04,Approved
2021-01-03 03:00,-0.42,-0.05,-2.12,-1.91,-2.07,0.22,1.31,-3.88,0.02,2.19,-1.04,-0.3,0.61,3.36,-0.51,Premium
2021-01-03 04:00,0.31,1.01,-1.28,1.12,1.29,0.55,-1.07,2.68,-0.07,-1.86,1.33,0.91,-1.35,-1.76,0.74,Premium
2021-01-03 05:00,1.17,0.31,-1.39,-0.88,0.8,0.09,0.91,-0.35,0.14,-0.62,-1.24,0.05,-0.22,2.79,1.57,Premium
2021-01-03 06:00,1.63,1.37,0.72,1.03,1.69,0.75,1.67,0.91,0.29,0.06,-0.88,-0.52,0.03,2.3,-1.33,Premium
2021-01-03 07:00,1.55,0.37,0.77,-1.31,-0.3,-0.27,0.65,0.43,-2.17,-0.49,0.78,1.05,-0.38,0.38,-1.24,Rejected
2021-01-03 08:00,0.34,0.68,1.35,-0.45,-0.4,-0.06,-0.44,0.56,-1.21,-0.92,0.07,0.36,0.4,0.43,0.5,Rejected
2021-01-03 09:00,1.58,0.36,-0.05,-0.31,0.9,0.11,1.53,0.51,-1.1,0.84,-1.47,1.76,-0.26,-1.62,-0.91,Rejected
2021-01-03 10:00,0.83,-1.2,0.36,-0.38,1.8,-0.34,1.16,-0.45,-1.06,0.13,0,0.94,-0.33,0.73,-0.09,Approved
2021-01-03 11:00,-3.2,0.92,0.1,0.39,-0.92,-0.38,0.44,-4.87,-0.96,3.45,-1.09,0.84,0.63,1.75,-1.31,Premium
2021-01-03 12:00,0.36,-0.61,-1.42,-1.9,-0.78,-0.79,0.93,-2.15,-0.95,0.8,-1.52,0.09,-0.57,1.78,0.2,Premium
2021-01-03 13:00,0.47,0.33,-1.07,-1.6,-0.81,-0.19,-0.3,-0.31,0.4,-0.88,1.46,0.8,-1.8,0.88,-0.42,Rejected
2021-01-03 14:00,1.19,-0.71,0.2,-0.93,1.02,0.28,1.8,-1.08,0.15,0.96,0.13,-1.33,0.89,0.86,1.6,Rejected
2021-01-03 15:00,2.43,0.63,0.76,-2.84,-1.33,0.08,0.86,0.09,-0.48,-0.99,1.23,0.69,0.15,1.81,-0.33,Premium
2021-01-03 16:00,0.28,2.78,-0.34,2.16,-0.59,-0.28,1.29,0.44,-0.95,1.98,0.05,-2.7,1.04,0.58,2.71,Approved
2021-01-03 17:00,0.41,0.55,-0.34,0.23,0.76,-1.35,0.27,0.07,0.79,-0.83,0.09,0.47,1.16,3.06,1.29,Rejected
2021-01-03 18:00,1.01,-0.88,-1.18,-1.66,-2.34,-0.49,-1.21,1.03,0.14,-2.66,-0.49,-1.24,-1.19,3.54,-0.95,Rejected
2021-01-03 19:00,2.08,0.72,2.13,0.34,0.55,0.64,3.18,-0.98,1.13,1.75,-1.53,0.32,1.44,4.82,-0.97,Approved
2021-01-03 20:00,-2.2,0.43,-0.13,-1.18,-2.26,0.68,-0.29,-3.86,-0.36,1.86,0.72,-1.27,1.39,1.73,-1.24,Premium
2021-01-03 21:00,0.72,1.49,0.48,-0.36,0.2,1.74,0.4,0.38,-0.84,-0.02,0.82,0.37,-1.02,-0.65,0.07,Rejected
2021-01-03 22:00,0.71,-0.58,-0.71,-1.04,1.59,0,2,-2.12,-1.58,1.34,1.37,1.89,0.97,1.48,1.08,Rejected
2021-01-03 23:00,-0.21,0.63,1.85,-0.66,0.82,0.68,1.33,-2.22,0.09,1.73,-0.52,0.71,-0.94,0.14,0.45,Premium
2021-01-04 00:00,2.67,-0.48,0.28,-0.72,-0.97,-0.45,1.82,1,-0.76,0.42,-0.16,1.01,-1.03,1.18,1.72,Approved
2021-01-04 01:00,0.55,1.24,0.02,1.17,1.39,-0.26,0.97,0.39,-1.93,0.28,-1.04,-0.83,0.35,1.37,0.1,Approved
2021-01-04 02:00,0.73,1.15,-0.57,-1.85,1.28,-0.92,-0.94,1,0.23,-2.26,-0.86,-0.06,-1.79,-2.1,-0.95,Premium
2021-01-04 03:00,-0.69,-0.63,0.86,-2.52,1,-0.96,1.49,-4.42,0.47,2.14,0.34,-0.03,0.76,0.12,-0.11,Premium
2021-01-04 04:00,1.02,0.08,1.16,-1,1,0.04,1.96,-1.45,-1.88,1.49,1.18,-1.07,0.91,0.13,0.03,Rejected
2021-01-04 05:00,-1.21,0.73,1.24,-0.62,-0.73,-1.15,0.67,-3.01,-0.01,2.05,0.06,-0.6,-0.47,0.99,-0.28,Premium
2021-01-04 06:00,-0.54,0.85,-0.11,-0.19,1.59,-0.17,0.64,-1.36,1.35,1.1,0.64,0.59,2.01,-1.53,-1.54,Approved
2021-01-04 07:00,0.67,0.61,-0.34,-1.53,0.85,2.44,0.16,-0.22,-0.22,-0.65,0.91,0.43,1.52,-0.89,0.85,Premium
2021-01-04 08:00,1.32,-0.63,1.96,-2.51,1.28,0.31,1.32,-1.28,-2.37,0.26,-0.6,1.11,-1.28,-1.01,0.27,Premium
2021-01-04 09:00,2.26,-1.72,0.26,1.77,0.58,0.81,1.56,2.59,-0.38,0.12,0.52,0.45,-0.03,0.92,-0.58,Approved
2021-01-04 10:00,-1.42,0.66,-0.01,1.05,2.48,0.01,1.01,-2.27,1.12,1.9,-0.61,-1.25,-0.59,0.04,0.97,Premium
2021-01-04 11:00,-2.83,0.21,0.81,-0.17,-1.7,0.75,-0.03,-4.55,-0.61,2.23,-0.12,-0.9,-1.9,3.98,-0.67,Approved
2021-01-04 12:00,0.79,0.15,0.54,-2.2,-1.88,-0.08,-1.38,0.61,1.76,-2.81,1.4,-1,-0.37,2.85,-0.35,Rejected
2021-01-04 13:00,1.64,-1.74,-1.51,-0.59,1.84,0.63,1.48,0.07,-1.47,-0.3,0.53,1.46,-1.54,1.51,0.9,Approved
2021-01-04 14:00,4.41,-0.52,0.83,3.12,2.39,-0.7,3.1,5.06,0.87,0.27,0.55,-0.02,-0.5,-0.45,-0.94,Approved
2021-01-04 15:00,3.38,-0.87,0.17,1.93,3.16,1.09,1.21,4.64,0.27,-2.43,1.04,0.35,0.64,1.49,-1.08,Approved
2021-01-04 16:00,0.46,-0.34,0.72,2.37,0.47,1.3,-1.18,3.77,1.41,-1.9,1.12,0.82,-1.08,-0.83,-0.57,Premium
2021-01-04 17:00,0.17,0.8,-0.22,0.19,0.39,0.11,-1.12,1.68,1.86,-1.82,0.09,-0.91,-0.67,-0.5,0.99,Premium
2021-01-04 18:00,0.35,-0.29,0.27,-1.35,-0.97,-0.74,0.68,-1.44,0.86,0.65,0.17,-0.73,-0.7,1.39,0.88,Premium
2021-01-04 19:00,1.15,0.54,-1.17,-1.56,0.28,0.79,0.41,-0.03,-1.31,-0.74,0.6,-0.24,-0.72,0.4,-0.67,Premium
2021-01-04 20:00,1.98,0.88,-1.26,1.53,1.48,2.16,0.66,2.84,-1.03,-1.61,0.26,0.68,0.44,2.38,-0.42,Premium
2021-01-04 21:00,0.09,-1.9,0.66,1.03,-0.17,0.01,-0.56,1.37,0.79,-0.91,1.38,1.85,-0.07,0.91,0.63,Approved
2021-01-04 22:00,0.36,2.39,0.29,-0.81,0.66,-1.65,1.73,-1.92,-1.66,1.99,-1.33,-0.56,-0.12,-0.42,-0.32,Rejected
2021-01-04 23:00,0.42,-0.24,-1.53,2.02,2.3,-1.67,-0.62,2.61,-0.83,-2.19,-2,-0.37,-0.42,1.34,1.65,Approved
2021-01-05 00:00,1.48,-0.78,0.05,0.95,0.19,-0.91,1.03,1.62,-0.34,0.3,0.83,2.39,-0.55,-0.16,-0.14,Approved
2021-01-05 01:00,2.18,1.25,0.52,-0.1,0.18,-0.75,3.43,-1.1,-1.77,2.65,-1.92,-0.75,0.94,2.15,-0.33,Approved
2021-01-05 02:00,0.31,-0.98,-1.98,-2.81,1.39,1.15,0.39,-1.79,0.99,-0.18,0.04,0.25,-0.04,-1.66,-0.45,Premium
2021-01-05 03:00,0.7,-0.1,0.41,-0.41,0.57,0.35,0.51,0.21,-1.29,0.03,1.76,0.43,1.31,-0.68,-1.21,Rejected
2021-01-05 04:00,-0.17,0.39,-1.35,1.67,-0.57,0.76,0.08,1.07,0.63,0.97,-1.18,-0.95,-0.15,-1.55,0.99,Approved
2021-01-05 05:00,2.17,-1.53,1.92,1.7,0.55,0.74,2.03,1.87,-0.17,0.86,-1.17,-0.66,-0.04,1.1,1.21,Approved
2021-01-05 06:00,0.18,-0.12,3.32,-1.31,-0.22,0.87,0,-0.87,-3,-0.44,1.01,0.31,-1.31,1.22,0.51,Rejected
2021-01-05 07:00,0.2,-0.45,-1.23,-0.91,0.08,0.28,1.22,-1.71,-0.64,1.5,-0.08,-0.31,0.53,-0.05,0.7,Premium
2021-01-05 08:00,1.12,0.93,1.05,-2.39,0.43,1.64,0.9,-1.12,-0.24,0,0.89,0.41,0.18,-0.29,-0.83,Premium
2021-01-05 09:00,-0.55,0.01,-0.7,-0.69,0.53,1.17,0.52,-1.8,-0.61,0.99,-0.22,1.28,0.48,-0.12,1.15,Premium
2021-01-05 10:00,0.16,-0.08,0.39,2.76,1.23,0.99,2.19,-0.44,1.82,2.43,-0.64,-1.18,0.37,2.34,0.4,Approved
2021-01-05 11:00,-1.8,-1,0.85,-0.89,-1.76,0.33,0.67,-4.4,-2,2.35,-0.85,-1.49,0.87,3.83,2.08,Premium
2021-01-05 12:00,2.54,1.65,0.69,0.16,-0.2,1.78,2.66,0.76,-0.81,1.92,-0.37,-0.11,-1.01,-0.56,-0.91,Approved
2021-01-05 13:00,-1.28,-1.6,-0.48,-1.18,-1.85,1.11,-0.64,-2.07,1.32,0.58,-0.55,0.97,0.11,0.8,-1.27,Premium
2021-01-05 14:00,2.22,-0.45,0.08,-0.49,-0.21,-0.21,1.96,0.62,0.76,1.1,1.24,1.73,0.33,-0.56,-0.18,Approved
2021-01-05 15:00,-0.44,-0.42,0.8,-0.02,1.02,1.28,-0.84,0.23,-1.01,-1.37,-1.61,-0.15,0.65,0.69,1.23,Approved
2021-01-05 16:00,3.13,-0.04,-0.85,1.13,0.76,-0.96,1.95,2.8,-0.03,-0.35,-0.79,-1.7,0.25,1.74,-0.09,Approved
2021-01-05 17:00,-2.13,-0.16,0.67,-1.03,-2.58,-0.03,-1.43,-2.23,-1.86,0.51,1.39,-1.44,-1.3,0.42,-0.39,Premium
2021-01-05 18:00,-0.71,-0.38,0.75,-0.79,-0.4,-0.53,0.57,-2.1,-1.92,1.67,-0.6,-0.2,-0.3,-0.74,-0.54,Premium
2021-01-05 19:00,1.67,-0.36,-1.05,2.02,1.6,2.73,0.1,3.57,0.25,-1.91,0.74,1.75,-2.06,1.06,0.33,Approved
2021-01-05 20:00,1.34,-0.38,-0.46,-2.79,-0.22,-0.44,0.97,-1.3,-1.22,-0.02,-0.31,-0.86,0.92,0.43,-1.22,Premium
2021-01-05 21:00,1.9,-1.57,-1.07,-0.75,-1.35,1.36,0.95,0.74,-0.37,-0.22,0.71,0.22,0.3,2.02,0.6,Premium
2021-01-05 22:00,1.73,-0.63,0.82,-1.93,0.28,-0.27,1.96,-1.38,-0.08,0.74,1.86,-0.24,-0.61,1.73,1.12,Premium
2021-01-05 23:00,0.69,0.77,-0.42,1.28,0.88,-1.19,1.21,0.6,-0.28,1.05,0.29,-0.61,-0.44,-0.28,-0.2,Approved
2021-01-06 00:00,0.87,-0.16,-0.65,-1.23,1.17,0.47,1.62,-1.68,0.66,0.68,-0.27,-1.38,0.79,1.94,-0.45,Approved
2021-01-06 01:00,3.27,-1.09,1.05,-3.83,-0.86,0.65,2.07,-0.81,0.1,-0.27,-1.66,2.07,1.04,2.04,0.35,Premium
2021-01-06 02:00,-0.09,-1.43,0.13,-2.1,0.21,-1.16,0.76,-2.54,0.93,0.8,-0.78,-0.5,0.59,0.51,0.3,Rejected
2021-01-06 03:00,0.37,0.26,0.76,1.12,2.1,-0.54,-1.66,3.45,-0.61,-3.03,-1.82,-0.02,-0.74,-1.98,0.6,Premium
2021-01-06 04:00,1.38,-1.2,-0.45,-2.04,-2.89,-0.51,-1.57,1.69,-1.04,-3.25,1.05,0.73,0.47,3.1,-0.74,Rejected
2021-01-06 05:00,3.63,0.86,-0.42,-1.01,1.59,-0.5,3.81,0.18,-0.77,1.84,-0.2,-0.8,0.32,-0.37,0.94,Premium
2021-01-06 06:00,0.94,0.71,0.26,-0.95,-1.19,0.3,-0.28,0.7,-0.15,-1.19,-0.09,0.12,0.52,1.55,-0.43,Rejected
2021-01-06 07:00,0.03,1.74,-0.25,-0.91,-0.15,0.75,1.17,-2.07,-0.51,1.4,1.11,0.56,-0.95,1.28,1.38,Premium
2021-01-06 08:00,1.52,0.36,-0.26,1.72,-0.09,3.11,2.28,0.67,1.07,1.98,-1.09,-0.08,-1.52,1.34,-0.87,Approved
2021-01-06 09:00,0.84,-2.08,0.44,-1.41,-0.25,0.32,0.7,-0.65,-1.5,0.24,1.37,-0.27,0.9,0.08,-0.19,Rejected
2021-01-06 10:00,0.35,0.43,0.24,-1.42,-2.76,-1.64,-1.74,0.83,-0.24,-2.69,0.39,-1.08,-0.38,3.61,0.24,Rejected
2021-01-06 11:00,0.92,-0.65,-0.88,1.37,0.97,-0.93,1.38,0.71,0.11,0.91,0.89,-0.03,-1.26,0.51,-0.48,Approved
2021-01-06 12:00,-0.63,0.4,-0.6,-0.16,1.31,-0.25,-0.76,0.09,-1.8,-0.78,0.94,0.56,0.31,-1.57,-0.06,Premium
2021-01-06 13:00,0.56,0.37,-0.11,-3.36,-1.04,-1.17,-0.67,-1.25,0.21,-1.89,0.75,2.94,-1.34,2.31,-1.66,Rejected
2021-01-06 14:00,2.29,-1.19,-0.64,1.22,0.99,1.61,2.03,1.9,-0.11,0.87,0.04,0.3,-0.45,-0.52,-0.74,Approved
2021-01-06 15:00,0.19,-0.02,-1.28,-1.28,-0.7,-0.79,1.7,-2.79,-1.14,2.1,-0.14,1.03,0.24,1.84,-0.18,Premium
2021-01-06 16:00,0.75,-0.11,-0.01,-1.25,1.71,0.26,-0.09,0.54,1.07,-1.16,-1.42,0.5,-0.76,-1.99,0.71,Premium
2021-01-06 17:00,0.76,-1.32,-1.28,-0.07,0.07,-0.13,-0.54,1.34,0.07,-1.91,-0.27,0.11,0.35,2.08,-0.56,Approved
2021-01-06 18:00,2.68,-1.28,-1.26,0.66,0.42,0.48,2.34,1.66,1.39,1.1,-0.6,-0.19,-0.64,-0.37,-0.79,Approved
2021-01-06 19:00,-0.33,-1.57,0.99,-2.78,1.19,-0.64,-0.09,-2.36,-1.21,-0.59,0.98,0.98,-0.42,0.08,0.25,Rejected
2021-01-06 20:00,0.04,-0.49,-1.05,2.81,-0.95,1.23,-0.05,2.4,-0.49,0.98,-1.2,0.1,-0.78,-2.22,0.41,Approved
2021-01-06 21:00,-0.08,1.07,-0.38,-0.49,-1.05,-0.68,-0.94,0.4,-1.05,-1.21,-1.16,-1.74,-1.31,1.16,-0.7,Premium
2021-01-06 22:00,1.69,-0.06,-1.32,-1.84,-2.64,0.46,-1.03,1.73,0.25,-2.72,-0.28,-0.3,-1.53,2.7,-0.14,Rejected
2021-01-06 23:00,0.57,-0.36,-0.7,0.65,1.22,-0.33,1.87,-1.14,0.84,1.28,0.44,-2.62,-0.63,2.95,0.27,Approved
2021-01-07 00:00,2.72,2.12,-0.78,0.44,0.2,-0.19,1.46,2.63,-0.6,0,-0.23,0.28,1.39,-1.17,-1.22,Rejected
2021-01-07 01:00,-1.32,1.61,-0.41,-0.56,-1.72,-1.12,0.95,-3.71,1.3,2.52,-0.4,-1.01,-1.24,3.09,1.59,Premium
2021-01-07 02:00,0.43,-1.39,-1.62,-1.18,2.13,1.37,-1.21,1.46,-0.19,-2.54,0.08,-0.17,-1.07,-2.64,1.3,Premium
2021-01-07 03:00,-0.43,-1.05,-0.12,-2.24,-2.88,-1.28,2.66,-6.07,0.47,3.79,-0.96,1.61,-1.85,6.74,0.72,Premium
2021-01-07 04:00,1.61,-0.15,1.5,3.54,1.61,0.64,0.25,4.34,-0.73,-1.6,0.29,1.86,-0.03,1.7,-0.13,Approved
2021-01-07 05:00,-0.71,-1.88,-0.4,-0.96,-1.28,1.59,-0.7,-1.17,-0.09,-0.41,1.74,-0.39,0.37,1.85,0.47,Premium
2021-01-07 06:00,2.04,-0.75,-1.71,-0.64,0.21,-0.41,1.39,0.86,1.27,0.15,-0.36,0.88,-0.2,-0.14,0.1,Rejected
2021-01-07 07:00,1.07,-1.79,0.83,-2.27,1.05,1.14,0.92,-1.07,-0.55,-0.08,-1.94,1.14,-1.07,-0.62,-0.57,Premium
2021-01-07 08:00,1.22,-0.4,-0.27,-1.47,0.85,-0.78,0.41,0.28,-2.93,-0.81,0.1,0.26,-0.66,-0.62,-1.46,Premium
2021-01-07 09:00,0.66,-0.16,-0.13,-0.91,1.77,-0.96,-0.5,1.17,-0.54,-1.57,-0.65,0.31,1.3,-2.52,0.8,Premium
2021-01-07 10:00,2.08,1.41,-0.76,-2.27,-1.58,0.73,-0.18,1.1,-0.07,-2.16,0.96,-0.02,1.04,2.27,-1.1,Rejected
2021-01-07 11:00,1.45,0.26,-0.12,0.89,0.69,-0.56,0.99,1.59,0.2,0.09,0.99,-1.07,1.1,-0.21,-0.47,Approved
2021-01-07 12:00,1.95,-0.97,-1.55,0.39,0.25,-1.02,1.24,1.74,0.65,0.26,0.62,-0.03,0.59,-0.91,-0.16,Approved
2021-01-07 13:00,0.57,0.19,0.07,2.36,3.79,-1.25,-0.84,3.58,-0.47,-2.82,-1.35,-0.2,-0.5,-0.44,0.82,Approved
2021-01-07 14:00,1.76,0.17,0.14,-0.66,1.88,-0.21,2.09,0.01,0.93,1.24,0.41,0.18,-0.67,-2.35,-1.72,Approved
2021-01-07 15:00,3.39,-0.47,0.86,-1.46,-1.37,-1.75,3.65,-0.46,-0.33,2.73,0.98,0.41,-1.05,0.33,0.81,Approved
2021-01-07 16:00,0.3,0.68,-0.64,-2.19,0.6,0.25,0.06,-1.17,1.35,-0.54,0.55,-1,-0.36,-0.41,-0.91,Rejected
2021-01-07 17:00,0.05,-1.01,-1.65,-3.12,-0.48,1.03,-0.77,-1.61,0.26,-1.71,1.44,1.34,-0.78,2.01,1.42,Rejected
2021-01-07 18:00,-1.05,-0.01,-0.36,0.82,-1.19,-0.17,-1.36,0.46,-1.68,-0.8,0.52,0.18,-0.01,1.18,0.83,Approved
2021-01-07 19:00,0.38,-0.03,0.61,-0.82,1.61,-0.29,2.24,-2.54,0.96,2.21,-2.09,-0.92,0.84,0.34,1.17,Rejected
2021-01-07 20:00,1.35,-0.84,-0.2,-1.27,-0.37,-2.02,0.62,0.12,-0.1,-0.46,-0.86,-1.35,0.96,1.07,-1.13,Premium
2021-01-07 21:00,1.82,-0.7,-0.89,0.33,0.99,0.41,2.4,0.22,0.85,1.75,-0.06,-1.81,0.4,-0.66,0.13,Rejected
2021-01-07 22:00,-0.67,0.34,0.62,-1.16,-1.26,0.67,0.24,-2.24,0.4,1.01,-0.6,-0.9,2.25,1.39,1.17,Premium
2021-01-07 23:00,-1.91,-0.03,-0.31,-0.72,-1.08,0.14,-1.11,-1.94,0.9,0.4,1.78,-0.63,0.43,-0.26,-0.9,Rejected
